18/12/2022 14:24:17 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 14:30:20 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 14:31:34 Tiedot tallennettiin, käyttäjä:  finla
18/12/2022 14:32:47 Tiedot tallennettiin, käyttäjä:  finla
18/12/2022 14:32:51 Tiedot poistettiin, käyttäjä:  finla
18/12/2022 14:32:55 Tiedot tallennettiin, käyttäjä:  finla
18/12/2022 14:32:57 Tiedot tallennettiin, käyttäjä:  finla
18/12/2022 16:08:42 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 16:10:01 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 16:10:59 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 16:12:52 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 16:19:25 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 16:24:33 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 16:26:36 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 16:30:33 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 16:31:41 Tiedot tallennettiin, käyttäjä:  finla
18/12/2022 16:36:08 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 16:36:44 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 16:47:32 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 18:27:52 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 18:28:12 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 18:28:45 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 18:46:56 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 18:47:08 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 18:47:46 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 18:49:26 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 18:55:54 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 18:57:00 Tiedot poistettiin, käyttäjä:  finla
18/12/2022 18:57:01 Tiedot poistettiin, käyttäjä:  finla
18/12/2022 18:57:03 Tiedot poistettiin, käyttäjä:  finla
18/12/2022 18:58:44 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 19:14:11 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 19:27:33 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 19:29:20 sovellus käynnistettiin, käyttäjä:  finla
18/12/2022 19:30:11 sovellus käynnistettiin, käyttäjä:  finla
19/12/2022 09:54:56 sovellus käynnistettiin, käyttäjä:  finla
19/12/2022 15:20:33 sovellus käynnistettiin, käyttäjä:  finla
19/12/2022 15:20:46 Tiedot tallennettiin, käyttäjä:  finla
19/12/2022 15:26:42 Tiedot poistettiin, käyttäjä:  finla
19/12/2022 15:27:45 Tiedot poistettiin, käyttäjä:  finla
19/12/2022 15:27:59 Tiedot tallennettiin, käyttäjä:  finla
21/12/2022 18:35:28 sovellus käynnistettiin, käyttäjä:  finla
21/12/2022 18:35:49 Tiedot poistettiin, käyttäjä:  finla
21/12/2022 18:56:19 sovellus käynnistettiin, käyttäjä:  finla
21/12/2022 18:57:02 sovellus käynnistettiin, käyttäjä:  finla
21/12/2022 18:59:07 Tiedot poistettiin, käyttäjä:  finla
21/12/2022 19:00:13 Tiedot poistettiin, käyttäjä:  finla
21/12/2022 19:00:40 Tiedot poistettiin, käyttäjä:  finla
21/12/2022 19:00:44 Tiedot tallennettiin, käyttäjä:  finla
21/12/2022 19:03:41 sovellus käynnistettiin, käyttäjä:  finla
21/12/2022 19:09:02 sovellus käynnistettiin, käyttäjä:  finla
21/12/2022 19:21:43 sovellus käynnistettiin, käyttäjä:  finla
21/12/2022 19:22:19 sovellus käynnistettiin, käyttäjä:  finla
1.12.2023 16.19.08 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 16.21.18 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 16.21.31 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 16.26.34 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 16.28.06 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 16.35.22 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 16.38.08 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 16.38.31 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 16.39.25 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 16.39.56 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 16.44.08 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 16.45.14 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 17.01.51 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 17.04.09 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 17.05.51 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 17.06.41 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 17.07.08 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 17.07.10 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 17.07.12 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 17.17.36 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 17.24.24 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 17.25.33 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 17.25.47 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 17.25.49 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 17.25.49 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 17.26.03 Tiedot tallennettiin, käyttäjä:  iiris
1.12.2023 17.26.11 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 17.40.00 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 18.00.11 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 18.08.04 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 18.16.04 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 18.18.05 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 20.18.01 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 20.20.49 Tiedot tallennettiin, käyttäjä:  iiris
1.12.2023 20.23.28 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 20.23.42 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 20.24.11 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 20.25.24 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 20.26.55 Tiedot tallennettiin, käyttäjä:  iiris
1.12.2023 20.31.34 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 20.32.25 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 20.35.38 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 20.35.59 Tiedot tallennettiin, käyttäjä:  iiris
1.12.2023 20.36.58 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 20.37.31 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 20.37.35 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 20.37.46 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 20.41.55 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 20.42.42 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 20.46.08 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 20.46.21 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 20.48.03 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 20.48.21 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 20.48.28 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 20.52.30 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 20.52.41 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 20.52.47 Tiedot tallennettiin, käyttäjä:  iiris
1.12.2023 20.55.00 sovellus käynnistettiin, käyttäjä:  iiris
1.12.2023 20.55.30 Tiedot poistettiin, käyttäjä:  iiris
1.12.2023 20.55.34 Tiedot tallennettiin, käyttäjä:  iiris
